,Location,Latitude,Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
52,"Newport News, Newport News City (23601)",37.053346,-76.45948,Walmart Neighborhood Market,37.06140277114841,-76.46554184552001,Grocery Store
53,"Newport News, Newport News City (23601)",37.053346,-76.45948,Dollar General,37.040953,-76.468757,Discount Store
54,"Newport News, Newport News City (23601)",37.053346,-76.45948,Pizza Hut,37.05283744740204,-76.46135419607162,Pizza Place
55,"Newport News, Newport News City (23601)",37.053346,-76.45948,Redbox,37.060262,-76.466485,Video Store
56,"Newport News, Newport News City (23601)",37.053346,-76.45948,Rocky Mount Bar-B-Q,37.038721465528496,-76.45661791555463,BBQ Joint
57,"Newport News, Newport News City (23601)",37.053346,-76.45948,Waffle House,37.044709,-76.459212,Breakfast Spot
58,"Newport News, Newport News City (23601)",37.053346,-76.45948,Rite Aid,37.0401638,-76.4683675,Drugstore
59,"Newport News, Newport News City (23601)",37.053346,-76.45948,Family Dollar,37.056174,-76.462868,Discount Store
60,"Newport News, Newport News City (23601)",37.053346,-76.45948,7-Eleven,37.036225,-76.455519,Convenience Store
61,"Newport News, Newport News City (23601)",37.053346,-76.45948,Tuesday Morning,37.04360654966404,-76.47116540244679,Discount Store
62,"Newport News, Newport News City (23601)",37.053346,-76.45948,Shell,37.051504,-76.460549,Gas Station
63,"Newport News, Newport News City (23601)",37.053346,-76.45948,SUBWAY,37.040953,-76.468757,Sandwich Place
64,"Newport News, Newport News City (23601)",37.053346,-76.45948,Little Caesars Pizza,37.039123,-76.457358,Pizza Place
65,"Newport News, Newport News City (23601)",37.053346,-76.45948,Redbox,37.037811279296875,-76.45539093017578,Video Store
66,"Newport News, Newport News City (23601)",37.053346,-76.45948,Dunkin',37.06052188515232,-76.46573893497032,Donut Shop
67,"Newport News, Newport News City (23601)",37.053346,-76.45948,Port Arthur,37.04903299956189,-76.47553044676894,Chinese Restaurant
68,"White Stone, Lancaster (22578)",37.64424,-76.36034,Duckys Heezy Fo Sheezy,37.654293060302734,-76.3552474975586,Cocktail Bar
69,"White Stone, Lancaster (22578)",37.64424,-76.36034,White Stone,37.65637135217253,-76.35942958438595,Beach
70,"Harborton, Accomack (23389)",37.661513,-75.8315,United States Postal Service,37.6613762,-75.8322825,Post Office
71,"Harborton, Accomack (23389)",37.661513,-75.8315,Eastern Shore Yacht & Country Club,37.657433,-75.825045,Golf Course
72,"Harborton, Accomack (23389)",37.661513,-75.8315,Harborton Boat Ramp,37.66573616299507,-75.84100049727826,River
73,"Harborton, Accomack (23389)",37.661513,-75.8315,Odyssey,37.653806,-75.823577,Boat or Ferry
74,"Virginia Beach, Virginia Beach City (23464)",36.799284,-76.17767,Hot Yoga Studio,36.801169121698614,-76.17853391310462,Yoga Studio
75,"Virginia Beach, Virginia Beach City (23464)",36.799284,-76.17767,Chick-fil-A,36.7988099,-76.1787999,Fast Food Restaurant
76,"Virginia Beach, Virginia Beach City (23464)",36.799284,-76.17767,Outback Steakhouse,36.800630636524865,-76.17501369502355,Steakhouse
77,"Virginia Beach, Virginia Beach City (23464)",36.799284,-76.17767,Firehouse Subs,36.796968,-76.173595,Sandwich Place
78,"Virginia Beach, Virginia Beach City (23464)",36.799284,-76.17767,Care A Lot Pet Supplies,36.799933886573825,-76.18087458903844,Pet Store
79,"Virginia Beach, Virginia Beach City (23464)",36.799284,-76.17767,Pet Supplies Plus Virginia Beach,36.80012467286585,-76.17940471532158,Pet Store
80,"Virginia Beach, Virginia Beach City (23464)",36.799284,-76.17767,Cinema Cafe,36.801701,-76.174368,Movie Theater
81,"Virginia Beach, Virginia Beach City (23464)",36.799284,-76.17767,Papa's Greek Restaurant,36.80148893331329,-76.17831236443018,Greek Restaurant
82,"Virginia Beach, Virginia Beach City (23464)",36.799284,-76.17767,Shaking Crab,36.80132219151139,-76.17582267545446,Seafood Restaurant
83,"Virginia Beach, Virginia Beach City (23464)",36.799284,-76.17767,Natural Bodyz Fitness - Open 24/7,36.8013962812267,-76.17840396363052,Gym / Fitness Center
84,"Virginia Beach, Virginia Beach City (23464)",36.799284,-76.17767,El Camino Real,36.79752097672483,-76.17676359835632,Mexican Restaurant
85,"Virginia Beach, Virginia Beach City (23464)",36.799284,-76.17767,Starbucks,36.79951437,-76.17791691,Coffee Shop
86,"Virginia Beach, Virginia Beach City (23464)",36.799284,-76.17767,Panera Bread,36.80096066167998,-76.17791175842285,Bakery
87,"Virginia Beach, Virginia Beach City (23464)",36.799284,-76.17767,Tropical Smoothie Cafe,36.80089730079731,-76.17515839506302,Smoothie Shop
88,"Virginia Beach, Virginia Beach City (23464)",36.799284,-76.17767,Wawa,36.794523,-76.16781,Convenience Store
89,"Virginia Beach, Virginia Beach City (23464)",36.799284,-76.17767,Bruster's Real Ice Cream,36.7977248706593,-76.17629528265583,Ice Cream Shop
90,"Virginia Beach, Virginia Beach City (23464)",36.799284,-76.17767,Sakatomo Sushi,36.794549543503386,-76.16976765096123,Sushi Restaurant
91,"Virginia Beach, Virginia Beach City (23464)",36.799284,-76.17767,Tasty Korean BBQ,36.8010024292506,-76.17573499666125,Korean Restaurant
92,"Virginia Beach, Virginia Beach City (23464)",36.799284,-76.17767,Jimmy John's,36.798243078203775,-76.17509275794691,Sandwich Place
93,"Virginia Beach, Virginia Beach City (23464)",36.799284,-76.17767,Dairy Queen,36.798913874360466,-76.17388442158693,Ice Cream Shop
94,"Virginia Beach, Virginia Beach City (23464)",36.799284,-76.17767,Planet Fitness,36.80081558227539,-76.17635345458984,Gym / Fitness Center
95,"Virginia Beach, Virginia Beach City (23464)",36.799284,-76.17767,ALDI,36.7953008,-76.1749168,Grocery Store
96,"Virginia Beach, Virginia Beach City (23464)",36.799284,-76.17767,IHOP,36.799683,-76.174485,Breakfast Spot
97,"Virginia Beach, Virginia Beach City (23464)",36.799284,-76.17767,Harris Teeter,36.794092197233425,-76.16895564593509,Supermarket
98,"Virginia Beach, Virginia Beach City (23464)",36.799284,-76.17767,Red Ribbon Bake Shop,36.801436714365074,-76.17832507934305,Bakery
99,"Virginia Beach, Virginia Beach City (23464)",36.799284,-76.17767,The UPS Store,36.8003027,-76.1773339,Shipping Store
100,"Virginia Beach, Virginia Beach City (23464)",36.799284,-76.17767,Founders Inn and Spa,36.8034259,-76.1915999,Hotel
101,"Virginia Beach, Virginia Beach City (23464)",36.799284,-76.17767,Pulcinella Italian Restaurant,36.800608,-76.175054,Italian Restaurant
102,"Virginia Beach, Virginia Beach City (23464)",36.799284,-76.17767,Swan Terrace Grill,36.80347980587932,-76.19131573293528,American Restaurant
103,"Virginia Beach, Virginia Beach City (23464)",36.799284,-76.17767,Sally Beauty,36.799799,-76.175565,Cosmetics Shop
104,"Natural Bridge, Rockbridge (24578)",37.650711,-79.55269,Natural Bridge Lace Waterfall,37.63417765363414,-79.55400963442787,Waterfall
105,"Natural Bridge, Rockbridge (24578)",37.650711,-79.55269,Natural Bridge Zoo,37.64491834718155,-79.5330337039105,Zoo Exhibit
106,"Natural Bridge, Rockbridge (24578)",37.650711,-79.55269,The Caverns at Natural Bridge,37.63575680331969,-79.54175836699036,Cave
107,"Natural Bridge, Rockbridge (24578)",37.650711,-79.55269,The Caverns Tourist Shop,37.63557,-79.54195,Gift Shop
108,"Ashland, Hanover (23005)",37.754254,-77.47465,The Caboose Market & Café,37.75828719701023,-77.48172283172607,Wine Shop
109,"Ashland, Hanover (23005)",37.754254,-77.47465,Trackside Grill,37.7576554,-77.4813417,American Restaurant
110,"Ashland, Hanover (23005)",37.754254,-77.47465,Wawa,37.7587,-77.471817,Gas Station
111,"Ashland, Hanover (23005)",37.754254,-77.47465,Origin Beer Lab,37.75835717536376,-77.48167723417282,Brewery
112,"Ashland, Hanover (23005)",37.754254,-77.47465,Randolph-Macon College,37.76196203130481,-77.47820377349854,General College & University
113,"Ashland, Hanover (23005)",37.754254,-77.47465,Yokozuna Sushi,37.76051578273978,-77.46907034109599,Sushi Restaurant
114,"Ashland, Hanover (23005)",37.754254,-77.47465,Chick-fil-A,37.7578403,-77.4642272,Fast Food Restaurant
115,"Ashland, Hanover (23005)",37.754254,-77.47465,Iron Horse Restaurant,37.75864344975694,-77.48159408569336,American Restaurant
116,"Ashland, Hanover (23005)",37.754254,-77.47465,Patrick Henry YMCA,37.74483608501102,-77.47903347996628,Gym / Fitness Center
117,"Ashland, Hanover (23005)",37.754254,-77.47465,Homeades by Suzanne,37.75906398950695,-77.48137435639876,Sandwich Place
118,"Ashland, Hanover (23005)",37.754254,-77.47465,Petco,37.760964,-77.469597,Pet Store
119,"Ashland, Hanover (23005)",37.754254,-77.47465,sweetFrog,37.759164,-77.478998,Frozen Yogurt Shop
120,"Ashland, Hanover (23005)",37.754254,-77.47465,Sportspage Bar & Grille (Sports Page Bar and Grille),37.75873039213113,-77.47347503900528,Sports Bar
121,"Ashland, Hanover (23005)",37.754254,-77.47465,Fuddrucker's,37.759591,-77.463124,Burger Joint
122,"Ashland, Hanover (23005)",37.754254,-77.47465,Cook Out,37.758763,-77.46769599999999,Burger Joint
123,"Ashland, Hanover (23005)",37.754254,-77.47465,Hampton Inn by Hilton,37.75761871926266,-77.46962216643117,Hotel
124,"Ashland, Hanover (23005)",37.754254,-77.47465,Anthony's Pizza,37.759257930234625,-77.4694549214831,Pizza Place
125,"Ashland, Hanover (23005)",37.754254,-77.47465,El Azteca,37.759131300877506,-77.46995852778228,Mexican Restaurant
126,"Ashland, Hanover (23005)",37.754254,-77.47465,Cracker Barrel Old Country Store,37.75790124417698,-77.4600237275494,American Restaurant
127,"Ashland, Hanover (23005)",37.754254,-77.47465,Food Lion Grocery Store,37.75518878788171,-77.46827469851473,Supermarket
128,"Ashland, Hanover (23005)",37.754254,-77.47465,Panera Bread,37.7586456,-77.4651806,Bakery
129,"Ashland, Hanover (23005)",37.754254,-77.47465,Brick Oven Bistro,37.75572115274177,-77.46083309230727,Pizza Place
130,"Ashland, Hanover (23005)",37.754254,-77.47465,Waffle House,37.758476,-77.4657,Breakfast Spot
131,"Ashland, Hanover (23005)",37.754254,-77.47465,Pepicelli's,37.75560490616397,-77.47163601640764,Pizza Place
132,"Ashland, Hanover (23005)",37.754254,-77.47465,Hardee's,37.759307127692324,-77.4720654227018,Fast Food Restaurant
133,"Ashland, Hanover (23005)",37.754254,-77.47465,CVS pharmacy,37.754822999999995,-77.468747,Pharmacy
134,"Ashland, Hanover (23005)",37.754254,-77.47465,Ashland Coffee & Tea,37.758896997857256,-77.48164425259529,Coffee Shop
135,"Ashland, Hanover (23005)",37.754254,-77.47465,Starbucks,37.75896173,-77.46996335,Coffee Shop
136,"Ashland, Hanover (23005)",37.754254,-77.47465,Dollar Tree,37.755726431271604,-77.46166870614094,Discount Store
137,"Ashland, Hanover (23005)",37.754254,-77.47465,GNC,37.76123046875,-77.46968078613281,Supplement Shop
138,"Arlington, Arlington (22201)",38.885337,-77.09512,Revolve Fitness DC,38.88575147505398,-77.09293377446504,Cycle Studio
139,"Arlington, Arlington (22201)",38.885337,-77.09512,Oby Lee,38.884769,-77.093762,Café
140,"Arlington, Arlington (22201)",38.885337,-77.09512,Northside Social,38.88543,-77.097829,Coffee Shop
141,"Arlington, Arlington (22201)",38.885337,-77.09512,Bakeshop,38.885835,-77.092718,Bakery
142,"Arlington, Arlington (22201)",38.885337,-77.09512,Peet's Coffee & Tea,38.885822,-77.094468,Coffee Shop
143,"Arlington, Arlington (22201)",38.885337,-77.09512,Gyu-Kaku,38.88685098182672,-77.09626882848558,Japanese Restaurant
144,"Arlington, Arlington (22201)",38.885337,-77.09512,Trader Joe's,38.88664,-77.094678,Grocery Store
145,"Arlington, Arlington (22201)",38.885337,-77.09512,Lyon Hall,38.88537082794702,-77.09502339363098,French Restaurant
146,"Arlington, Arlington (22201)",38.885337,-77.09512,Screwtop Wine Bar,38.88538544283094,-77.09265232086182,Wine Bar
147,"Arlington, Arlington (22201)",38.885337,-77.09512,South Block,38.886335,-77.09406,Juice Bar
148,"Arlington, Arlington (22201)",38.885337,-77.09512,Cava Mezze,38.887463,-77.093572,Greek Restaurant
149,"Arlington, Arlington (22201)",38.885337,-77.09512,Moby Dick House of Kabob,38.88504303618905,-77.09449499845505,Persian Restaurant
150,"Arlington, Arlington (22201)",38.885337,-77.09512,Green Pig Bistro,38.886153763923666,-77.09275424480438,Gastropub
151,"Arlington, Arlington (22201)",38.885337,-77.09512,The Board Room,38.88445174830682,-77.09312621653751,Bar
152,"Arlington, Arlington (22201)",38.885337,-77.09512,The Liberty Tavern,38.88621101639649,-77.09675307387367,American Restaurant
153,"Arlington, Arlington (22201)",38.885337,-77.09512,Massage Envy - Clarendon Center,38.8864667,-77.0941251,Spa
154,"Arlington, Arlington (22201)",38.885337,-77.09512,Baba,38.88867207384737,-77.09336435968422,Cocktail Bar
155,"Arlington, Arlington (22201)",38.885337,-77.09512,Gold's Gym,38.8872923,-77.0931529,Gym / Fitness Center
156,"Arlington, Arlington (22201)",38.885337,-77.09512,UFC Gym Arlington,38.88757800950068,-77.09597528244231,Gym / Fitness Center
157,"Arlington, Arlington (22201)",38.885337,-77.09512,Pacers,38.886937443768254,-77.09519842868569,Sporting Goods Shop
158,"Arlington, Arlington (22201)",38.885337,-77.09512,sweetgreen,38.8865318,-77.0953846,Salad Place
159,"Arlington, Arlington (22201)",38.885337,-77.09512,Nicecream Factory,38.888485,-77.092276,Ice Cream Shop
160,"Arlington, Arlington (22201)",38.885337,-77.09512,Ambar,38.88869608755989,-77.09334620354068,Eastern European Restaurant
161,"Arlington, Arlington (22201)",38.885337,-77.09512,Spirits of '76,38.886128151736735,-77.09727090089469,Bar
162,"Arlington, Arlington (22201)",38.885337,-77.09512,The Container Store,38.887879,-77.092458,Furniture / Home Store
163,"Arlington, Arlington (22201)",38.885337,-77.09512,Heritage Brewpub & Roastery,38.88818034,-77.09340761,Gastropub
164,"Arlington, Arlington (22201)",38.885337,-77.09512,East West Grille,38.88951688710411,-77.09142911688892,Middle Eastern Restaurant
165,"Arlington, Arlington (22201)",38.885337,-77.09512,El Pollo Rico,38.883878006108944,-77.10072576999664,Peruvian Restaurant
166,"Arlington, Arlington (22201)",38.885337,-77.09512,Texas Jack's Barbecue,38.8811937,-77.0904272,BBQ Joint
167,"Arlington, Arlington (22201)",38.885337,-77.09512,The Lot Beer Garden,38.884641,-77.09805,Beer Garden
168,"Lovingston, Nelson (22949)",37.780882,-78.89239,William's Cabin,37.768776,-78.893326,Vacation Rental
169,"Lovingston, Nelson (22949)",37.780882,-78.89239,Democracy Vineyards,37.766319274902344,-78.88182067871094,Vineyard
170,"Montvale, Bedford (24122)",37.413397,-79.70789,Great River Jiu-Jitsu,37.428994,-79.700943,Athletics & Sports
171,"Springfield, Fairfax (22151)",38.803813,-77.20821,Virginia Academy Of Fencing,38.80532029083441,-77.21431221461498,College Arts Building
172,"Springfield, Fairfax (22151)",38.803813,-77.20821,Lake Accotink Park,38.79491579494931,-77.21545344362102,Park
173,"Springfield, Fairfax (22151)",38.803813,-77.20821,The Swiss Bakery & Pastry Shop,38.809850282446355,-77.22230983125735,Bakery
174,"Springfield, Fairfax (22151)",38.803813,-77.20821,Scout Shop,38.80924219827072,-77.22200500851294,Hobby Shop
175,"Springfield, Fairfax (22151)",38.803813,-77.20821,Lotte Plaza Market,38.810312309271694,-77.22293664729105,Grocery Store
176,"Springfield, Fairfax (22151)",38.803813,-77.20821,Jersey Mike's Subs,38.809214,-77.221295,Sandwich Place
177,"Springfield, Fairfax (22151)",38.803813,-77.20821,Anita's New Mexico Style Bar and Grill,38.8107643462413,-77.22332016623292,Tex-Mex Restaurant
178,"Springfield, Fairfax (22151)",38.803813,-77.20821,Wakefield Park,38.8145065402995,-77.22454806312376,Park
179,"Springfield, Fairfax (22151)",38.803813,-77.20821,Lake Accotink Park Carousel,38.79435044277591,-77.21500454956538,Theme Park
180,"Springfield, Fairfax (22151)",38.803813,-77.20821,Kilroy's,38.809319289969835,-77.22175368204212,Restaurant
181,"Springfield, Fairfax (22151)",38.803813,-77.20821,Popeyes Louisiana Kitchen,38.814932316611944,-77.208643248836,Fried Chicken Joint
182,"Springfield, Fairfax (22151)",38.803813,-77.20821,Dairy Queen,38.8092543,-77.2224692,Ice Cream Shop
183,"Springfield, Fairfax (22151)",38.803813,-77.20821,Scoops2u,38.803156,-77.21504399999999,Ice Cream Shop
184,"Springfield, Fairfax (22151)",38.803813,-77.20821,NOVA Strength and Conditioning,38.80122627987057,-77.2142743077493,Gym
185,"Springfield, Fairfax (22151)",38.803813,-77.20821,U-Haul Moving & Storage of Springfield,38.8080907,-77.2174363,Storage Facility
186,"Springfield, Fairfax (22151)",38.803813,-77.20821,Ravensworth Shopping Center,38.81038058356211,-77.22241482015728,Shopping Mall
187,"Springfield, Fairfax (22151)",38.803813,-77.20821,Hong Kong Express,38.80937168869254,-77.22151660106698,Chinese Restaurant
188,"Springfield, Fairfax (22151)",38.803813,-77.20821,Super Pets,38.80947794380531,-77.22206109722251,Pet Store
189,"Springfield, Fairfax (22151)",38.803813,-77.20821,sang rok su,38.80963897705078,-77.22239685058594,Korean Restaurant
190,"Springfield, Fairfax (22151)",38.803813,-77.20821,Fitzhugh Park,38.814310196220696,-77.21735663486704,Park
191,"Springfield, Fairfax (22151)",38.803813,-77.20821,TW Perry,38.791109999999996,-77.213167,Hardware Store
192,"Springfield, Fairfax (22151)",38.803813,-77.20821,Pizza Bazzano,38.81025695800781,-77.22415924072266,Pizza Place
193,"Springfield, Fairfax (22151)",38.803813,-77.20821,Farmer's Market,38.81353494489653,-77.22491295608803,Farmers Market
194,"Springfield, Fairfax (22151)",38.803813,-77.20821,Brookfield Park,38.787274,-77.20066700000001,Park
195,"Alexandria, Fairfax (22306)",38.757214,-77.08666,La Mexicana,38.75413264140644,-77.08189487056146,Taco Place
196,"Alexandria, Fairfax (22306)",38.757214,-77.08666,Mamma's Kitchen,38.75187402770334,-77.08430930822804,Mediterranean Restaurant
197,"Alexandria, Fairfax (22306)",38.757214,-77.08666,Starbucks,38.75373563578392,-77.082970316172,Coffee Shop
198,"Alexandria, Fairfax (22306)",38.757214,-77.08666,Huntley Meadows Park,38.760327,-77.095445,Park
199,"Alexandria, Fairfax (22306)",38.757214,-77.08666,Cold Stone Creamery,38.749386,-77.085399,Ice Cream Shop
200,"Alexandria, Fairfax (22306)",38.757214,-77.08666,Jersey Mike's Subs,38.747998,-77.083683,Sandwich Place
201,"Alexandria, Fairfax (22306)",38.757214,-77.08666,Moe's Southwest Grill,38.75021557638979,-77.08592484942267,Mexican Restaurant
202,"Alexandria, Fairfax (22306)",38.757214,-77.08666,Bed Bath & Beyond,38.7501207,-77.0881101,Furniture / Home Store
203,"Alexandria, Fairfax (22306)",38.757214,-77.08666,DSW Shoe Warehouse,38.7509789,-77.0862121,Shoe Store
204,"Alexandria, Fairfax (22306)",38.757214,-77.08666,McAlister's Deli,38.74849,-77.08437,Sandwich Place
205,"Alexandria, Fairfax (22306)",38.757214,-77.08666,CVS pharmacy,38.75869857260789,-77.08492806668436,Pharmacy
206,"Alexandria, Fairfax (22306)",38.757214,-77.08666,Taco Bell,38.75973871317146,-77.08450368351751,Fast Food Restaurant
207,"Alexandria, Fairfax (22306)",38.757214,-77.08666,Tacos El Costalilla,38.74423390450616,-77.08498939648966,Taco Place
208,"Alexandria, Fairfax (22306)",38.757214,-77.08666,7-Eleven,38.7574173574217,-77.0841899514198,Convenience Store
209,"Alexandria, Fairfax (22306)",38.757214,-77.08666,Michaels,38.750458976111304,-77.08811670541763,Arts & Crafts Store
210,"Alexandria, Fairfax (22306)",38.757214,-77.08666,Five Guys,38.75045758690163,-77.08353571299226,Burger Joint
211,"Alexandria, Fairfax (22306)",38.757214,-77.08666,Sweet Frog,38.747171,-77.08512900000001,Frozen Yogurt Shop
212,"Alexandria, Fairfax (22306)",38.757214,-77.08666,Costco,38.74189697133652,-77.08786358414336,Warehouse Store
213,"Alexandria, Fairfax (22306)",38.757214,-77.08666,Vitamin Shoppe,38.7481321,-77.0821997,Supplement Shop
214,"Alexandria, Fairfax (22306)",38.757214,-77.08666,Peking Duck,38.75237,-77.08284,Chinese Restaurant
215,"Alexandria, Fairfax (22306)",38.757214,-77.08666,"Solace Day Spa Alexandria, VA",38.75017232062418,-77.08523697654941,Spa
216,"Alexandria, Fairfax (22306)",38.757214,-77.08666,T.J. Maxx,38.7483999,-77.084375,Department Store
217,"Alexandria, Fairfax (22306)",38.757214,-77.08666,Quality Inn Mount Vernon,38.7611249,-77.0852483,Hotel
218,"Alexandria, Fairfax (22306)",38.757214,-77.08666,The Home Depot,38.7485641,-77.0869145,Hardware Store
219,"Alexandria, Fairfax (22306)",38.757214,-77.08666,Noodles & Company,38.7493779,-77.0854989,Noodle House
220,"Alexandria, Fairfax (22306)",38.757214,-77.08666,HomeGoods,38.773179,-77.083347,Furniture / Home Store
221,"Alexandria, Fairfax (22306)",38.757214,-77.08666,Mount Vernon Athletic Club,38.742058593027195,-77.09154432453742,Gym / Fitness Center
222,"Alexandria, Fairfax (22306)",38.757214,-77.08666,Giant Food,38.7708179,-77.0838364,Grocery Store
223,"Alexandria, Fairfax (22306)",38.757214,-77.08666,Pier 1 Imports,38.750765,-77.08684000000001,Furniture / Home Store
